2025-04-23 19:44:38.570 INFO  [Thread-15销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-15销售线程CD5数量不足
2025-04-23 19:44:38.570 INFO  [Thread-15销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-15销售线程CD5数量不足，继续等候,唤醒进货线程
2025-04-23 19:44:38.571 INFO  [Thread-6CD5进货线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-6CD5进货线程CD5进货
2025-04-23 19:44:38.577 INFO  [Thread-14销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-14销售线程CD8销售了0剩余8
2025-04-23 19:44:38.577 INFO  [Thread-14销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-14销售线程睡眠时间191
2025-04-23 19:44:38.587 INFO  [Thread-11销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-11销售线程CD5销售了1剩余9
2025-04-23 19:44:38.587 INFO  [Thread-11销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-11销售线程睡眠时间40
2025-04-23 19:44:38.605 INFO  [Thread-17租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025CD6已借出Thread-17租借线程放弃
2025-04-23 19:44:38.605 INFO  [Thread-17租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-17租借线程睡眠时间46
2025-04-23 19:44:38.611 INFO  [Thread-19租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-19租借线程租到了cd：CD4持有246ms
2025-04-23 19:44:38.628 INFO  [Thread-11销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-11销售线程CD5销售了5剩余4
2025-04-23 19:44:38.628 INFO  [Thread-11销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-11销售线程睡眠时间56
2025-04-23 19:44:38.641 INFO  [Thread-13销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-13销售线程CD2销售了0剩余8
2025-04-23 19:44:38.641 INFO  [Thread-13销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-13销售线程睡眠时间89
2025-04-23 19:44:38.652 INFO  [Thread-17租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025CD4已借出Thread-17租借线程等待中
2025-04-23 19:44:38.664 INFO  [Thread-18租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-18租借线程归还cd：CD6
2025-04-23 19:44:38.664 INFO  [Thread-18租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-18租借线程睡眠时间197
2025-04-23 19:44:38.684 INFO  [Thread-15销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-15销售线程CD5销售了3剩余1
2025-04-23 19:44:38.684 INFO  [Thread-15销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-15销售线程睡眠时间32
2025-04-23 19:44:38.685 INFO  [Thread-11销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-11销售线程CD0销售了3剩余3
2025-04-23 19:44:38.685 INFO  [Thread-11销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-11销售线程睡眠时间39
2025-04-23 19:44:38.688 INFO  [Thread-16租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-16租借线程归还cd：CD10
2025-04-23 19:44:38.688 INFO  [Thread-16租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-16租借线程睡眠时间130
2025-04-23 19:44:38.717 INFO  [Thread-15销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-15销售线程CD2销售了0剩余8
2025-04-23 19:44:38.717 INFO  [Thread-15销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-15销售线程睡眠时间124
2025-04-23 19:44:38.725 INFO  [Thread-11销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-11销售线程CD5数量不足
2025-04-23 19:44:38.725 INFO  [Thread-11销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-11销售线程CD5数量不足，继续等候,唤醒进货线程
2025-04-23 19:44:38.725 INFO  [Thread-6CD5进货线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-6CD5进货线程CD5进货
2025-04-23 19:44:38.731 INFO  [Thread-13销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-13销售线程CD0数量不足
2025-04-23 19:44:38.731 INFO  [Thread-13销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-13销售线程CD0数量不足，不销售
2025-04-23 19:44:38.731 INFO  [Thread-13销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-13销售线程睡眠时间103
2025-04-23 19:44:38.745 INFO  [Thread-12销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-12销售线程CD7数量不足
2025-04-23 19:44:38.745 INFO  [Thread-12销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-12销售线程CD7数量不足，继续等候,唤醒进货线程
